,date,time,comp,round,day,venue,gf,ga,opponent,poss,attendance,formation,sh,save%,season,team
4,2015-09-11,20:30,Bundesliga,Matchweek 4,Fri,Away,3,0,M'Gladbach,44.0,54010.0,4-2-3-1,10.0,100.0,2016,Hamburger SV
5,2015-09-19,15:30,Bundesliga,Matchweek 5,Sat,Home,0,0,Eint Frankfurt,50.0,55322.0,4-2-3-1,10.0,100.0,2016,Hamburger SV
6,2015-09-22,20:00,Bundesliga,Matchweek 6,Tue,Away,1,0,Ingolstadt 04,54.0,15000.0,4-2-3-1,8.0,100.0,2016,Hamburger SV
7,2015-09-26,18:30,Bundesliga,Matchweek 7,Sat,Home,0,1,Schalke 04,50.0,53192.0,4-2-3-1,13.0,80.0,2016,Hamburger SV
8,2015-10-03,15:30,Bundesliga,Matchweek 8,Sat,Away,0,3,Hertha BSC,56.0,65427.0,4-2-3-1,8.0,50.0,2016,Hamburger SV
9,2015-10-17,15:30,Bundesliga,Matchweek 9,Sat,Home,0,0,Leverkusen,48.0,54957.0,4-2-3-1,8.0,100.0,2016,Hamburger SV
10,2015-10-23,20:30,Bundesliga,Matchweek 10,Fri,Away,1,0,Hoffenheim,53.0,30000.0,4-2-3-1,20.0,100.0,2016,Hamburger SV
11,2015-11-01,17:30,Bundesliga,Matchweek 11,Sun,Home,1,2,Hannover 96,57.0,54607.0,4-4-2,17.0,0.0,2016,Hamburger SV
12,2015-11-07,18:30,Bundesliga,Matchweek 12,Sat,Away,1,1,Darmstadt 98,63.0,17000.0,4-4-2,8.0,66.7,2016,Hamburger SV
13,2015-11-20,20:30,Bundesliga,Matchweek 13,Fri,Home,3,1,Dortmund,32.0,57000.0,4-2-3-1,7.0,85.7,2016,Hamburger SV
14,2015-11-28,15:30,Bundesliga,Matchweek 14,Sat,Away,3,1,Werder Bremen,49.0,42100.0,4-2-3-1,13.0,66.7,2016,Hamburger SV
15,2015-12-05,15:30,Bundesliga,Matchweek 15,Sat,Home,1,3,Mainz 05,59.0,51698.0,4-2-3-1,20.0,50.0,2016,Hamburger SV
16,2015-12-12,15:30,Bundesliga,Matchweek 16,Sat,Away,1,1,Wolfsburg,39.0,30000.0,4-2-3-1,5.0,88.9,2016,Hamburger SV
17,2015-12-19,15:30,Bundesliga,Matchweek 17,Sat,Home,0,1,Augsburg,56.0,49726.0,4-2-3-1,14.0,85.7,2016,Hamburger SV
18,2016-01-22,20:30,Bundesliga,Matchweek 18,Fri,Home,1,2,Bayern Munich,30.0,57000.0,4-2-3-1,7.0,75.0,2016,Hamburger SV
19,2016-01-30,18:30,Bundesliga,Matchweek 19,Sat,Away,1,2,Stuttgart,54.0,46600.0,4-2-3-1,12.0,80.0,2016,Hamburger SV
20,2016-02-07,15:30,Bundesliga,Matchweek 20,Sun,Home,1,1,Köln,56.0,51999.0,4-2-3-1,5.0,83.3,2016,Hamburger SV
21,2016-02-14,15:30,Bundesliga,Matchweek 21,Sun,Home,3,2,M'Gladbach,42.0,56706.0,4-2-3-1,17.0,50.0,2016,Hamburger SV
22,2016-02-19,20:30,Bundesliga,Matchweek 22,Fri,Away,0,0,Eint Frankfurt,47.0,47200.0,4-2-3-1,10.0,100.0,2016,Hamburger SV
23,2016-02-27,15:30,Bundesliga,Matchweek 23,Sat,Home,1,1,Ingolstadt 04,49.0,50675.0,4-2-3-1,7.0,66.7,2016,Hamburger SV
24,2016-03-02,20:00,Bundesliga,Matchweek 24,Wed,Away,2,3,Schalke 04,34.0,60856.0,4-2-3-1,8.0,66.7,2016,Hamburger SV
25,2016-03-06,17:30,Bundesliga,Matchweek 25,Sun,Home,2,0,Hertha BSC,58.0,46136.0,4-2-3-1,14.0,100.0,2016,Hamburger SV
26,2016-03-13,15:30,Bundesliga,Matchweek 26,Sun,Away,0,1,Leverkusen,56.0,30210.0,4-2-3-1,10.0,80.0,2016,Hamburger SV
27,2016-03-19,15:30,Bundesliga,Matchweek 27,Sat,Home,1,3,Hoffenheim,61.0,48263.0,4-2-3-1,26.0,75.0,2016,Hamburger SV
28,2016-04-02,15:30,Bundesliga,Matchweek 28,Sat,Away,3,0,Hannover 96,45.0,49000.0,4-2-3-1,9.0,100.0,2016,Hamburger SV
29,2016-04-09,15:30,Bundesliga,Matchweek 29,Sat,Home,1,2,Darmstadt 98,70.0,57000.0,4-2-3-1,9.0,50.0,2016,Hamburger SV
30,2016-04-17,15:30,Bundesliga,Matchweek 30,Sun,Away,0,3,Dortmund,29.0,81359.0,4-2-3-1,5.0,40.0,2016,Hamburger SV
31,2016-04-22,20:30,Bundesliga,Matchweek 31,Fri,Home,2,1,Werder Bremen,46.0,57000.0,4-2-3-1,12.0,87.5,2016,Hamburger SV
32,2016-04-30,15:30,Bundesliga,Matchweek 32,Sat,Away,0,0,Mainz 05,46.0,34000.0,4-2-3-1,7.0,100.0,2016,Hamburger SV
33,2016-05-07,15:30,Bundesliga,Matchweek 33,Sat,Home,0,1,Wolfsburg,44.0,57000.0,4-2-3-1,5.0,80.0,2016,Hamburger SV
34,2016-05-14,15:30,Bundesliga,Matchweek 34,Sat,Away,3,1,Augsburg,48.0,30660.0,4-2-3-1,13.0,85.7,2016,Hamburger SV
1,2015-08-15,15:30,Bundesliga,Matchweek 1,Sat,Away,1,0,Mainz 05,43.0,27152.0,4-3-3,14.0,100.0,2016,Ingolstadt 04
2,2015-08-23,15:30,Bundesliga,Matchweek 2,Sun,Home,0,4,Dortmund,34.0,15000.0,4-3-3,3.0,57.1,2016,Ingolstadt 04
3,2015-08-29,15:30,Bundesliga,Matchweek 3,Sat,Away,1,0,Augsburg,37.0,30003.0,4-3-3,16.0,100.0,2016,Ingolstadt 04
4,2015-09-12,15:30,Bundesliga,Matchweek 4,Sat,Home,0,0,Wolfsburg,39.0,14095.0,4-3-3,5.0,100.0,2016,Ingolstadt 04
5,2015-09-19,15:30,Bundesliga,Matchweek 5,Sat,Away,1,0,Werder Bremen,44.0,40500.0,4-3-3,14.0,100.0,2016,Ingolstadt 04
6,2015-09-22,20:00,Bundesliga,Matchweek 6,Tue,Home,0,1,Hamburger SV,47.0,15000.0,4-3-3,12.0,66.7,2016,Ingolstadt 04
7,2015-09-25,20:30,Bundesliga,Matchweek 7,Fri,Away,1,1,Köln,41.0,47800.0,4-3-3,16.0,75.0,2016,Ingolstadt 04
8,2015-10-03,15:30,Bundesliga,Matchweek 8,Sat,Home,2,0,Eint Frankfurt,40.0,15000.0,4-3-3,14.0,100.0,2016,Ingolstadt 04
9,2015-10-18,17:30,Bundesliga,Matchweek 9,Sun,Away,0,1,Stuttgart,53.0,45700.0,4-3-3,12.0,75.0,2016,Ingolstadt 04
10,2015-10-24,18:30,Bundesliga,Matchweek 10,Sat,Home,0,1,Hertha BSC,53.0,15000.0,4-1-2-1-2◆,19.0,0.0,2016,Ingolstadt 04
11,2015-10-31,15:30,Bundesliga,Matchweek 11,Sat,Away,1,1,Schalke 04,36.0,60144.0,4-3-3,7.0,66.7,2016,Ingolstadt 04
12,2015-11-07,15:30,Bundesliga,Matchweek 12,Sat,Away,0,0,M'Gladbach,44.0,52331.0,4-3-3,14.0,100.0,2016,Ingolstadt 04
13,2015-11-22,17:30,Bundesliga,Matchweek 13,Sun,Home,3,1,Darmstadt 98,57.0,14551.0,4-4-2,16.0,50.0,2016,Ingolstadt 04
14,2015-11-28,15:30,Bundesliga,Matchweek 14,Sat,Away,0,4,Hannover 96,55.0,35000.0,4-3-3,10.0,0.0,2016,Ingolstadt 04
15,2015-12-05,15:30,Bundesliga,Matchweek 15,Sat,Home,1,1,Hoffenheim,51.0,14255.0,4-3-3,9.0,50.0,2016,Ingolstadt 04
16,2015-12-12,15:30,Bundesliga,Matchweek 16,Sat,Away,0,2,Bayern Munich,32.0,75000.0,4-3-3,9.0,71.4,2016,Ingolstadt 04
17,2015-12-19,15:30,Bundesliga,Matchweek 17,Sat,Home,0,1,Leverkusen,51.0,15000.0,4-3-3,11.0,50.0,2016,Ingolstadt 04
18,2016-01-23,15:30,Bundesliga,Matchweek 18,Sat,Home,1,0,Mainz 05,37.0,13500.0,4-3-3,9.0,100.0,2016,Ingolstadt 04
19,2016-01-30,15:30,Bundesliga,Matchweek 19,Sat,Away,0,2,Dortmund,33.0,81359.0,4-3-3,5.0,66.7,2016,Ingolstadt 04
20,2016-02-06,15:30,Bundesliga,Matchweek 20,Sat,Home,2,1,Augsburg,44.0,15356.0,4-3-3,24.0,50.0,2016,Ingolstadt 04
21,2016-02-13,15:30,Bundesliga,Matchweek 21,Sat,Away,0,2,Wolfsburg,50.0,26884.0,4-3-3,11.0,60.0,2016,Ingolstadt 04
22,2016-02-20,15:30,Bundesliga,Matchweek 22,Sat,Home,2,0,Werder Bremen,44.0,15000.0,4-3-3,9.0,100.0,2016,Ingolstadt 04
23,2016-02-27,15:30,Bundesliga,Matchweek 23,Sat,Away,1,1,Hamburger SV,51.0,50675.0,4-3-3,12.0,50.0,2016,Ingolstadt 04
24,2016-03-01,20:00,Bundesliga,Matchweek 24,Tue,Home,1,1,Köln,55.0,14503.0,4-3-3,14.0,66.7,2016,Ingolstadt 04
25,2016-03-05,15:30,Bundesliga,Matchweek 25,Sat,Away,1,1,Eint Frankfurt,35.0,40000.0,4-3-3,12.0,66.7,2016,Ingolstadt 04
26,2016-03-12,15:30,Bundesliga,Matchweek 26,Sat,Home,3,3,Stuttgart,45.0,15107.0,4-3-3,22.0,60.0,2016,Ingolstadt 04
27,2016-03-19,15:30,Bundesliga,Matchweek 27,Sat,Away,1,2,Hertha BSC,46.0,40385.0,4-3-3,9.0,0.0,2016,Ingolstadt 04
28,2016-04-02,15:30,Bundesliga,Matchweek 28,Sat,Home,3,0,Schalke 04,41.0,15200.0,4-3-3,12.0,100.0,2016,Ingolstadt 04
29,2016-04-09,15:30,Bundesliga,Matchweek 29,Sat,Home,1,0,M'Gladbach,53.0,15200.0,4-3-3,15.0,100.0,2016,Ingolstadt 04
30,2016-04-16,15:30,Bundesliga,Matchweek 30,Sat,Away,0,2,Darmstadt 98,65.0,15600.0,4-3-3,8.0,33.3,2016,Ingolstadt 04
31,2016-04-23,15:30,Bundesliga,Matchweek 31,Sat,Home,2,2,Hannover 96,33.0,14831.0,4-3-3,9.0,50.0,2016,Ingolstadt 04
32,2016-04-30,15:30,Bundesliga,Matchweek 32,Sat,Away,1,2,Hoffenheim,47.0,26561.0,4-3-3,16.0,50.0,2016,Ingolstadt 04
33,2016-05-07,15:30,Bundesliga,Matchweek 33,Sat,Home,1,2,Bayern Munich,42.0,15617.0,4-3-3,17.0,75.0,2016,Ingolstadt 04
34,2016-05-14,15:30,Bundesliga,Matchweek 34,Sat,Away,2,3,Leverkusen,58.0,29220.0,4-3-3,21.0,40.0,2016,Ingolstadt 04
1,2015-08-15,15:30,Bundesliga,Matchweek 1,Sat,Home,0,1,Hertha BSC,48.0,28130.0,4-2-3-1,20.0,100.0,2016,Augsburg
2,2015-08-22,15:30,Bundesliga,Matchweek 2,Sat,Away,1,1,Eint Frankfurt,46.0,45000.0,4-2-3-1,14.0,66.7,2016,Augsburg
3,2015-08-29,15:30,Bundesliga,Matchweek 3,Sat,Home,0,1,Ingolstadt 04,63.0,30003.0,4-2-3-1,10.0,66.7,2016,Augsburg
4,2015-09-12,15:30,Bundesliga,Matchweek 4,Sat,Away,1,2,Bayern Munich,20.0,75000.0,4-2-3-1,4.0,88.9,2016,Augsburg
6,2015-09-20,17:30,Bundesliga,Matchweek 5,Sun,Home,2,0,Hannover 96,46.0,28511.0,4-2-3-1,17.0,100.0,2016,Augsburg
7,2015-09-23,20:00,Bundesliga,Matchweek 6,Wed,Away,2,4,M'Gladbach,51.0,40511.0,4-2-3-1,13.0,66.7,2016,Augsburg
8,2015-09-26,15:30,Bundesliga,Matchweek 7,Sat,Home,1,3,Hoffenheim,67.0,27112.0,4-2-3-1,26.0,50.0,2016,Augsburg
10,2015-10-04,17:30,Bundesliga,Matchweek 8,Sun,Away,1,1,Leverkusen,36.0,28475.0,4-2-3-1,2.0,87.5,2016,Augsburg
11,2015-10-17,15:30,Bundesliga,Matchweek 9,Sat,Home,0,2,Darmstadt 98,71.0,30009.0,4-2-3-1,20.0,50.0,2016,Augsburg
13,2015-10-25,15:30,Bundesliga,Matchweek 10,Sun,Away,1,5,Dortmund,40.0,81359.0,4-2-3-1,4.0,44.4,2016,Augsburg
15,2015-10-31,15:30,Bundesliga,Matchweek 11,Sat,Home,3,3,Mainz 05,65.0,27200.0,4-2-3-1,25.0,50.0,2016,Augsburg
17,2015-11-08,17:30,Bundesliga,Matchweek 12,Sun,Home,1,2,Werder Bremen,61.0,28122.0,4-2-3-1,18.0,50.0,2016,Augsburg
18,2015-11-21,15:30,Bundesliga,Matchweek 13,Sat,Away,4,0,Stuttgart,41.0,54925.0,4-2-3-1,13.0,100.0,2016,Augsburg
20,2015-11-29,17:30,Bundesliga,Matchweek 14,Sun,Home,0,0,Wolfsburg,42.0,27081.0,4-2-3-1,13.0,100.0,2016,Augsburg
21,2015-12-05,15:30,Bundesliga,Matchweek 15,Sat,Away,1,0,Köln,49.0,45500.0,4-2-3-1,22.0,100.0,2016,Augsburg
23,2015-12-13,15:30,Bundesliga,Matchweek 16,Sun,Home,2,1,Schalke 04,42.0,28410.0,4-2-3-1,22.0,80.0,2016,Augsburg
25,2015-12-19,15:30,Bundesliga,Matchweek 17,Sat,Away,1,0,Hamburger SV,44.0,49726.0,4-2-3-1,17.0,100.0,2016,Augsburg
26,2016-01-23,15:30,Bundesliga,Matchweek 18,Sat,Away,0,0,Hertha BSC,39.0,35196.0,4-2-3-1,12.0,100.0,2016,Augsburg
27,2016-01-30,15:30,Bundesliga,Matchweek 19,Sat,Home,0,0,Eint Frankfurt,50.0,28653.0,4-2-3-1,7.0,100.0,2016,Augsburg
28,2016-02-06,15:30,Bundesliga,Matchweek 20,Sat,Away,1,2,Ingolstadt 04,56.0,15356.0,4-2-3-1,7.0,50.0,2016,Augsburg
29,2016-02-14,17:30,Bundesliga,Matchweek 21,Sun,Home,1,3,Bayern Munich,31.0,30660.0,4-2-3-1,6.0,70.0,2016,Augsburg
31,2016-02-21,17:30,Bundesliga,Matchweek 22,Sun,Away,1,0,Hannover 96,50.0,32400.0,4-2-3-1,11.0,100.0,2016,Augsburg
33,2016-02-28,15:30,Bundesliga,Matchweek 23,Sun,Home,2,2,M'Gladbach,48.0,29665.0,4-2-3-1,24.0,71.4,2016,Augsburg
34,2016-03-02,20:00,Bundesliga,Matchweek 24,Wed,Away,1,2,Hoffenheim,49.0,21092.0,4-2-3-1,14.0,71.4,2016,Augsburg
35,2016-03-05,15:30,Bundesliga,Matchweek 25,Sat,Home,3,3,Leverkusen,43.0,27610.0,4-2-3-1,10.0,60.0,2016,Augsburg
36,2016-03-12,15:30,Bundesliga,Matchweek 26,Sat,Away,2,2,Darmstadt 98,66.0,16000.0,4-2-3-1,16.0,66.7,2016,Augsburg
37,2016-03-20,17:30,Bundesliga,Matchweek 27,Sun,Home,1,3,Dortmund,24.0,30660.0,3-4-3,7.0,40.0,2016,Augsburg
38,2016-04-02,15:30,Bundesliga,Matchweek 28,Sat,Away,2,4,Mainz 05,49.0,31780.0,4-2-3-1,14.0,42.9,2016,Augsburg
39,2016-04-09,15:30,Bundesliga,Matchweek 29,Sat,Away,2,1,Werder Bremen,42.0,41000.0,4-2-3-1,4.0,66.7,2016,Augsburg
40,2016-04-16,15:30,Bundesliga,Matchweek 30,Sat,Home,1,0,Stuttgart,49.0,30660.0,4-2-3-1,13.0,100.0,2016,Augsburg
41,2016-04-23,15:30,Bundesliga,Matchweek 31,Sat,Away,2,0,Wolfsburg,28.0,27261.0,4-1-4-1,8.0,100.0,2016,Augsburg
42,2016-04-29,20:30,Bundesliga,Matchweek 32,Fri,Home,0,0,Köln,55.0,30144.0,4-2-3-1,13.0,100.0,2016,Augsburg
43,2016-05-07,15:30,Bundesliga,Matchweek 33,Sat,Away,1,1,Schalke 04,31.0,62271.0,3-4-3,5.0,80.0,2016,Augsburg
44,2016-05-14,15:30,Bundesliga,Matchweek 34,Sat,Home,1,3,Hamburger SV,52.0,30660.0,4-2-3-1,12.0,25.0,2016,Augsburg
1,2015-08-15,15:30,Bundesliga,Matchweek 1,Sat,Home,0,3,Schalke 04,58.0,42100.0,4-1-2-1-2◆,15.0,50.0,2016,Werder Bremen
2,2015-08-21,20:30,Bundesliga,Matchweek 2,Fri,Away,1,1,Hertha BSC,49.0,56376.0,4-1-2-1-2◆,9.0,50.0,2016,Werder Bremen
3,2015-08-30,17:30,Bundesliga,Matchweek 3,Sun,Home,2,1,M'Gladbach,38.0,42100.0,4-1-2-1-2◆,22.0,80.0,2016,Werder Bremen
4,2015-09-13,15:30,Bundesliga,Matchweek 4,Sun,Away,3,1,Hoffenheim,39.0,28312.0,4-1-2-1-2◆,16.0,80.0,2016,Werder Bremen
5,2015-09-19,15:30,Bundesliga,Matchweek 5,Sat,Home,0,1,Ingolstadt 04,56.0,40500.0,4-1-2-1-2◆,13.0,100.0,2016,Werder Bremen
6,2015-09-22,20:00,Bundesliga,Matchweek 6,Tue,Away,1,2,Darmstadt 98,59.0,17000.0,4-4-2,12.0,50.0,2016,Werder Bremen
7,2015-09-26,15:30,Bundesliga,Matchweek 7,Sat,Home,0,3,Leverkusen,37.0,40005.0,4-1-2-1-2◆,9.0,50.0,2016,Werder Bremen
8,2015-10-03,15:30,Bundesliga,Matchweek 8,Sat,Away,0,1,Hannover 96,59.0,49000.0,4-1-2-1-2◆,19.0,80.0,2016,Werder Bremen
9,2015-10-17,15:30,Bundesliga,Matchweek 9,Sat,Home,0,1,Bayern Munich,20.0,42100.0,5-4-1,8.0,75.0,2016,Werder Bremen
10,2015-10-24,15:30,Bundesliga,Matchweek 10,Sat,Away,3,1,Mainz 05,39.0,30837.0,4-1-4-1,16.0,80.0,2016,Werder Bremen
12,2015-10-31,15:30,Bundesliga,Matchweek 11,Sat,Home,1,3,Dortmund,27.0,42100.0,5-4-1,8.0,50.0,2016,Werder Bremen
13,2015-11-08,17:30,Bundesliga,Matchweek 12,Sun,Away,2,1,Augsburg,40.0,28122.0,4-1-4-1,15.0,100.0,2016,Werder Bremen
14,2015-11-21,15:30,Bundesliga,Matchweek 13,Sat,Away,0,6,Wolfsburg,36.0,30000.0,4-1-4-1,9.0,53.8,2016,Werder Bremen
15,2015-11-28,15:30,Bundesliga,Matchweek 14,Sat,Home,1,3,Hamburger SV,51.0,42100.0,4-4-2,14.0,50.0,2016,Werder Bremen
16,2015-12-06,15:30,Bundesliga,Matchweek 15,Sun,Away,1,1,Stuttgart,41.0,46590.0,4-1-4-1,7.0,75.0,2016,Werder Bremen
17,2015-12-12,15:30,Bundesliga,Matchweek 16,Sat,Home,1,1,Köln,41.0,40727.0,4-1-4-1,10.0,66.7,2016,Werder Bremen
19,2015-12-19,15:30,Bundesliga,Matchweek 17,Sat,Away,1,2,Eint Frankfurt,48.0,46000.0,4-4-2,11.0,66.7,2016,Werder Bremen
20,2016-01-24,17:30,Bundesliga,Matchweek 18,Sun,Away,3,1,Schalke 04,38.0,62271.0,4-4-2,17.0,75.0,2016,Werder Bremen
21,2016-01-30,15:30,Bundesliga,Matchweek 19,Sat,Home,3,3,Hertha BSC,51.0,40141.0,4-4-2,16.0,25.0,2016,Werder Bremen
22,2016-02-05,20:30,Bundesliga,Matchweek 20,Fri,Away,1,5,M'Gladbach,53.0,51569.0,4-4-2,15.0,50.0,2016,Werder Bremen
24,2016-02-13,15:30,Bundesliga,Matchweek 21,Sat,Home,1,1,Hoffenheim,49.0,38454.0,4-2-3-1,17.0,75.0,2016,Werder Bremen
25,2016-02-20,15:30,Bundesliga,Matchweek 22,Sat,Away,0,2,Ingolstadt 04,56.0,15000.0,4-1-4-1,12.0,66.7,2016,Werder Bremen
26,2016-02-27,15:30,Bundesliga,Matchweek 23,Sat,Home,2,2,Darmstadt 98,65.0,40396.0,4-1-2-1-2◆,16.0,50.0,2016,Werder Bremen
27,2016-03-02,20:00,Bundesliga,Matchweek 24,Wed,Away,4,1,Leverkusen,36.0,25506.0,4-1-4-1,11.0,85.7,2016,Werder Bremen
28,2016-03-05,15:30,Bundesliga,Matchweek 25,Sat,Home,4,1,Hannover 96,46.0,42100.0,4-2-3-1,14.0,80.0,2016,Werder Bremen
29,2016-03-12,18:30,Bundesliga,Matchweek 26,Sat,Away,0,5,Bayern Munich,17.0,75000.0,5-4-1,2.0,61.5,2016,Werder Bremen
30,2016-03-19,15:30,Bundesliga,Matchweek 27,Sat,Home,1,1,Mainz 05,45.0,38416.0,4-1-4-1,11.0,50.0,2016,Werder Bremen
31,2016-04-02,18:30,Bundesliga,Matchweek 28,Sat,Away,2,3,Dortmund,29.0,81359.0,3-1-4-2,9.0,62.5,2016,Werder Bremen
32,2016-04-09,15:30,Bundesliga,Matchweek 29,Sat,Home,1,2,Augsburg,58.0,41000.0,4-1-4-1,18.0,33.3,2016,Werder Bremen
33,2016-04-16,15:30,Bundesliga,Matchweek 30,Sat,Home,3,2,Wolfsburg,42.0,40557.0,4-2-3-1,21.0,33.3,2016,Werder Bremen
35,2016-04-22,20:30,Bundesliga,Matchweek 31,Fri,Away,1,2,Hamburger SV,54.0,57000.0,4-2-3-1,21.0,71.4,2016,Werder Bremen
36,2016-05-02,20:15,Bundesliga,Matchweek 32,Mon,Home,6,2,Stuttgart,40.0,41000.0,4-2-3-1,16.0,50.0,2016,Werder Bremen
37,2016-05-07,15:30,Bundesliga,Matchweek 33,Sat,Away,0,0,Köln,45.0,50000.0,4-1-4-1,13.0,100.0,2016,Werder Bremen
38,2016-05-14,15:30,Bundesliga,Matchweek 34,Sat,Home,1,0,Eint Frankfurt,65.0,42100.0,4-2-3-1,14.0,100.0,2016,Werder Bremen
1,2015-08-15,15:30,Bundesliga,Matchweek 1,Sat,Home,2,2,Hannover 96,40.0,17000.0,4-4-1-1,11.0,60.0,2016,Darmstadt 98
2,2015-08-22,15:30,Bundesliga,Matchweek 2,Sat,Away,1,1,Schalke 04,23.0,61565.0,4-4-1-1,9.0,80.0,2016,Darmstadt 98
3,2015-08-29,15:30,Bundesliga,Matchweek 3,Sat,Home,0,0,Hoffenheim,35.0,17000.0,4-4-1-1,5.0,100.0,2016,Darmstadt 98
4,2015-09-12,15:30,Bundesliga,Matchweek 4,Sat,Away,1,0,Leverkusen,28.0,29396.0,4-4-1-1,5.0,100.0,2016,Darmstadt 98
5,2015-09-19,15:30,Bundesliga,Matchweek 5,Sat,Home,0,3,Bayern Munich,20.0,17000.0,4-4-1-1,5.0,50.0,2016,Darmstadt 98
6,2015-09-22,20:00,Bundesliga,Matchweek 6,Tue,Home,2,1,Werder Bremen,42.0,17000.0,4-4-1-1,9.0,66.7,2016,Darmstadt 98
7,2015-09-27,17:30,Bundesliga,Matchweek 7,Sun,Away,2,2,Dortmund,23.0,81359.0,4-4-1-1,4.0,50.0,2016,Darmstadt 98
8,2015-10-02,20:30,Bundesliga,Matchweek 8,Fri,Home,2,3,Mainz 05,39.0,17000.0,4-4-1-1,14.0,57.1,2016,Darmstadt 98
9,2015-10-17,15:30,Bundesliga,Matchweek 9,Sat,Away,2,0,Augsburg,29.0,30009.0,4-4-1-1,12.0,100.0,2016,Darmstadt 98
10,2015-10-24,15:30,Bundesliga,Matchweek 10,Sat,Home,0,1,Wolfsburg,30.0,15800.0,4-4-1-1,9.0,83.3,2016,Darmstadt 98
12,2015-11-01,15:30,Bundesliga,Matchweek 11,Sun,Away,0,2,Stuttgart,40.0,55200.0,4-4-1-1,17.0,50.0,2016,Darmstadt 98
13,2015-11-07,18:30,Bundesliga,Matchweek 12,Sat,Home,1,1,Hamburger SV,37.0,17000.0,4-4-1-1,15.0,100.0,2016,Darmstadt 98
14,2015-11-22,17:30,Bundesliga,Matchweek 13,Sun,Away,1,3,Ingolstadt 04,43.0,14551.0,4-2-3-1,8.0,66.7,2016,Darmstadt 98
15,2015-11-27,20:30,Bundesliga,Matchweek 14,Fri,Home,0,0,Köln,38.0,17000.0,4-2-3-1,9.0,100.0,2016,Darmstadt 98
16,2015-12-06,17:30,Bundesliga,Matchweek 15,Sun,Away,1,0,Eint Frankfurt,32.0,51500.0,4-2-3-1,19.0,100.0,2016,Darmstadt 98
17,2015-12-12,15:30,Bundesliga,Matchweek 16,Sat,Home,0,4,Hertha BSC,35.0,17000.0,4-4-1-1,10.0,0.0,2016,Darmstadt 98
19,2015-12-20,17:30,Bundesliga,Matchweek 17,Sun,Away,2,3,M'Gladbach,41.0,53610.0,4-2-3-1,15.0,40.0,2016,Darmstadt 98
20,2016-01-23,15:30,Bundesliga,Matchweek 18,Sat,Away,2,1,Hannover 96,31.0,35600.0,4-2-3-1,13.0,80.0,2016,Darmstadt 98
21,2016-01-30,15:30,Bundesliga,Matchweek 19,Sat,Home,0,2,Schalke 04,38.0,17000.0,4-4-1-1,6.0,71.4,2016,Darmstadt 98
22,2016-02-07,17:30,Bundesliga,Matchweek 20,Sun,Away,2,0,Hoffenheim,31.0,26231.0,4-4-1-1,11.0,100.0,2016,Darmstadt 98
23,2016-02-13,15:30,Bundesliga,Matchweek 21,Sat,Home,1,2,Leverkusen,38.0,16800.0,4-4-1-1,12.0,50.0,2016,Darmstadt 98
24,2016-02-20,15:30,Bundesliga,Matchweek 22,Sat,Away,1,3,Bayern Munich,19.0,75000.0,4-4-1-1,6.0,76.9,2016,Darmstadt 98
25,2016-02-27,15:30,Bundesliga,Matchweek 23,Sat,Away,2,2,Werder Bremen,36.0,40396.0,4-2-3-1,8.0,75.0,2016,Darmstadt 98
26,2016-03-02,20:00,Bundesliga,Matchweek 24,Wed,Home,0,2,Dortmund,31.0,17000.0,4-4-1-1,5.0,71.4,2016,Darmstadt 98
27,2016-03-06,15:30,Bundesliga,Matchweek 25,Sun,Away,0,0,Mainz 05,41.0,34000.0,4-4-1-1,15.0,100.0,2016,Darmstadt 98
28,2016-03-12,15:30,Bundesliga,Matchweek 26,Sat,Home,2,2,Augsburg,34.0,16000.0,4-4-1-1,11.0,75.0,2016,Darmstadt 98
29,2016-03-19,15:30,Bundesliga,Matchweek 27,Sat,Away,1,1,Wolfsburg,23.0,26422.0,4-4-1-1,11.0,80.0,2016,Darmstadt 98
30,2016-04-02,15:30,Bundesliga,Matchweek 28,Sat,Home,2,2,Stuttgart,39.0,17000.0,4-4-1-1,15.0,33.3,2016,Darmstadt 98
31,2016-04-09,15:30,Bundesliga,Matchweek 29,Sat,Away,2,1,Hamburger SV,30.0,57000.0,4-2-3-1,9.0,66.7,2016,Darmstadt 98
32,2016-04-16,15:30,Bundesliga,Matchweek 30,Sat,Home,2,0,Ingolstadt 04,35.0,15600.0,4-2-3-1,7.0,100.0,2016,Darmstadt 98
33,2016-04-23,15:30,Bundesliga,Matchweek 31,Sat,Away,1,4,Köln,39.0,50000.0,4-2-3-1,15.0,50.0,2016,Darmstadt 98
34,2016-04-30,15:30,Bundesliga,Matchweek 32,Sat,Home,1,2,Eint Frankfurt,36.0,14800.0,4-4-1-1,10.0,50.0,2016,Darmstadt 98
35,2016-05-07,15:30,Bundesliga,Matchweek 33,Sat,Away,2,1,Hertha BSC,22.0,60280.0,4-2-3-1,8.0,75.0,2016,Darmstadt 98
36,2016-05-14,15:30,Bundesliga,Matchweek 34,Sat,Home,0,2,M'Gladbach,30.0,17000.0,4-4-1-1,9.0,33.3,2016,Darmstadt 98
1,2015-08-15,15:30,Bundesliga,Matchweek 1,Sat,Away,1,2,Leverkusen,42.0,27125.0,4-1-2-1-2◆,6.0,77.8,2016,Hoffenheim
2,2015-08-22,15:30,Bundesliga,Matchweek 2,Sat,Home,1,2,Bayern Munich,27.0,30150.0,4-1-2-1-2◆,8.0,77.8,2016,Hoffenheim
